Totales Territoriales	Comunidades y Ciudades Autónomas	Provincias	Viajeros y pernoctaciones	Residencia: Nivel 1	Residencia: Nivel 2	Periodo	Total
Total Nacional	01 Andalucía	21 Huelva	Pernoctaciones	Total	Residentes en España	2025M07	487.846
Total Nacional	01 Andalucía	21 Huelva	Pernoctaciones	Total	Residentes en España	2025M06	319.714
Total Nacional	01 Andalucía	21 Huelva	Pernoctaciones	Total	Residentes en España	2025M05	271.509
Total Nacional	01 Andalucía	21 Huelva	Pernoctaciones	Total	Residentes en España	2025M04	181.765
Total Nacional	01 Andalucía	21 Huelva	Pernoctaciones	Total	Residentes en España	2025M03	97.642
Total Nacional	01 Andalucía	21 Huelva	Pernoctaciones	Total	Residentes en España	2025M02	69.786
Total Nacional	01 Andalucía	21 Huelva	Pernoctaciones	Total	Residentes en España	2025M01	36.056
Total Nacional	01 Andalucía	21 Huelva	Pernoctaciones	Total	Residentes en el Extranjero	2025M07	209.411
Total Nacional	01 Andalucía	21 Huelva	Pernoctaciones	Total	Residentes en el Extranjero	2025M06	225.138
Total Nacional	01 Andalucía	21 Huelva	Pernoctaciones	Total	Residentes en el Extranjero	2025M05	139.351
Total Nacional	01 Andalucía	21 Huelva	Pernoctaciones	Total	Residentes en el Extranjero	2025M04	142.011
Total Nacional	01 Andalucía	21 Huelva	Pernoctaciones	Total	Residentes en el Extranjero	2025M03	47.309
Total Nacional	01 Andalucía	21 Huelva	Pernoctaciones	Total	Residentes en el Extranjero	2025M02	33.742
Total Nacional	01 Andalucía	21 Huelva	Pernoctaciones	Total	Residentes en el Extranjero	2025M01	18.372
Total Nacional	01 Andalucía	23 Jaén	Viajero	Total		2025M07	45.927
Total Nacional	01 Andalucía	23 Jaén	Viajero	Total		2025M06	52.512
Total Nacional	01 Andalucía	23 Jaén	Viajero	Total		2025M05	60.330
Total Nacional	01 Andalucía	23 Jaén	Viajero	Total		2025M04	58.742
Total Nacional	01 Andalucía	23 Jaén	Viajero	Total		2025M03	42.570
Total Nacional	01 Andalucía	23 Jaén	Viajero	Total		2025M02	39.187
Total Nacional	01 Andalucía	23 Jaén	Viajero	Total		2025M01	33.075
Total Nacional	01 Andalucía	23 Jaén	Viajero	Total	Residentes en España	2025M07	39.614
